GeneID	NonTargeting_rep1	NonTargeting_rep2	p63KD_rep1	p63KD_rep2
A1BG	59	54	88	72
A1BG-AS1	268	231	224	221
A1CF	1	1	0	0
A2M	109	117	533	517
A2M-AS1	38	42	41	38
A2ML1	68	50	27	33
A2MP1	0	2	1	1
A3GALT2	2	2	0	2
A4GALT	2103	1852	2729	2672
A4GNT	0	0	0	1
AA06	0	0	0	0
AAAS	2784	2610	2142	1866
AACS	3501	3247	2899	2787
AACSP1	76	48	16	18
AADAC	7	0	6	1
AADACL2	0	0	0	0
AADACL2-AS1	0	0	0	0
AADACL3	0	0	0	0
AADACL4	0	0	0	2
AADACP1	4	8	3	4
AADAT	743	743	510	464
AAED1	404	433	305	262
AAGAB	5156	4853	5194	5143
AAK1	3369	3039	2648	2581
AAMDC	355	357	526	539
AAMP	5995	5692	5382	5273
AANAT	4	4	3	3
AAR2	3568	3446	3042	2825
AARD	3	1	3	1
AARS	12650	11722	8329	8055
AARS2	2681	2496	1725	1608
AARSD1	101	107	64	57
AASDH	1034	946	670	752
AASDHPPT	4827	4505	2908	2926
AASS	947	923	369	325
AATF	3277	3172	2416	2433
AATK	241	236	366	312
AATK-AS1	0	0	0	0
ABAT	3377	3220	2703	2699
ABCA1	259	203	728	632
ABCA10	13	1	15	9
ABCA11P	435	397	404	388
ABCA12	3623	3368	2691	2660
ABCA13	14	11	43	49
ABCA17P	5	3	6	7
ABCA2	3554	3470	4087	3829
ABCA3	844	850	1201	1139
ABCA4	138	131	1018	929
ABCA5	1228	1171	1610	1395
ABCA6	1	1	4	3
ABCA7	2005	2094	3543	3016
ABCA8	2	1	1	1
ABCA9	0	2	2	2
ABCB1	2	0	3	4
ABCB10	2785	2729	1879	1789
ABCB11	0	3	3	2
ABCB4	2	2	0	2
ABCB5	1	1	1	0
ABCB6	1097	1061	483	466
ABCB7	2059	1961	1857	1746
ABCB8	3274	3232	3527	3257
ABCB9	576	564	555	499
ABCC1	6804	6413	8276	8353
ABCC10	2591	2480	2510	2147
ABCC11	7	12	14	19
ABCC12	0	0	2	0
ABCC13	0	0	0	0
ABCC2	7489	7584	3983	3657
ABCC3	2015	1925	4398	3981
ABCC4	190	165	75	53
ABCC5	1594	1599	1538	1234
ABCC5-AS1	3	1	0	0
ABCC6	18	16	10	16
ABCC6P1	1	4	1	2
ABCC6P2	7	11	2	3
ABCC8	0	0	0	0
ABCC9	1398	1354	1695	1655
ABCD1	1471	1339	4292	3904
ABCD2	0	0	1	0
ABCD3	7349	7034	8088	7990
ABCD4	1431	1306	1270	1205
ABCE1	10689	10287	5487	5646
ABCF1	9524	9102	8642	8347
ABCF2	4589	4364	3312	3126
ABCF3	3102	3129	3598	3426
ABCG1	377	358	559	529
ABCG2	5317	5364	3516	3493
ABCG4	30	29	22	15
ABCG5	0	0	0	0
ABCG8	0	0	0	0
ABHD1	5	1	1	7
ABHD10	2028	1832	1590	1557
ABHD11	831	861	1105	1056
ABHD12	1768	1802	2380	2280
ABHD12B	0	0	0	0
ABHD13	2066	2045	2244	2194
ABHD14A	474	441	679	624
ABHD14A-ACY1	2	1	0	0
ABHD14B	2133	2093	1963	1835
ABHD15	1357	1366	2173	2105
ABHD16A	3856	3606	5582	5293
ABHD16B	0	0	0	1
ABHD17A	1808	1870	2319	2179
ABHD17B	1290	1184	1474	1463
ABHD17C	7620	7321	9313	9235
ABHD2	10159	9660	17219	16998
ABHD3	2371	2218	2032	2047
ABHD4	5263	5212	5829	5664
ABHD5	2155	2018	2635	2532
ABHD6	1114	929	1089	1102
ABHD8	756	792	935	915
ABI1	4523	4286	3531	3483
ABI2	3289	3199	2458	2329
ABI3	0	1	0	2
ABI3BP	28	28	90	101
ABL1	4409	4255	4463	4274
ABL2	2747	2452	2594	2642
ABLIM1	24971	23243	28852	28669
ABLIM2	207	185	430	370
ABLIM3	147	143	139	126
ABO	0	0	0	0
ABR	2841	2741	3312	3049
ABRA	0	0	0	0
