question_id,fact_id,label,aliases
Q01,Q01:F01,GSM3035185,"[""GSM3035185""]"
Q01,Q01:F02,GSM3035186,"[""GSM3035186""]"
Q01,Q01:F03,GSM3035187,"[""GSM3035187""]"
Q01,Q01:F04,GSM3035188,"[""GSM3035188""]"
Q02,Q02:F01,GSM3035187,"[""GSM3035187""]"
Q02,Q02:F02,GSM3035188,"[""GSM3035188""]"
Q03,Q03:F01,GSM3035185,"[""GSM3035185""]"
Q03,Q03:F02,GSM3035186,"[""GSM3035186""]"
Q04,Q04:F01,NonTargeting_rep1,"[""NonTargeting_rep1""]"
Q04,Q04:F02,NonTargeting_rep2,"[""NonTargeting_rep2""]"
Q04,Q04:F03,p63KD_rep1,"[""p63KD_rep1""]"
Q04,Q04:F04,p63KD_rep2,"[""p63KD_rep2""]"
Q05,Q05:F01,非靶向 shRNA 对照,"[""非靶向 shRNA 对照"", ""non-targeting shRNA control"", ""对照组（Control）"", ""对照组 (Control)""]"
Q05,Q05:F02,p63 靶向 shRNA,"[""p63 靶向 shRNA"", ""p63-targeting shRNA"", ""p63 敲低组"", ""p63_knockdown""]"
Q05,Q05:F03,每组两个生物学重复,"[""每组两个生物学重复"", ""每组 2 个生物学重复"", ""每组包含两个生物学重复"", ""每组包含 2 个生物学重复"", ""two biological replicates per group""]"
Q06,Q06:F01,H226,"[""H226""]"
Q06,Q06:F02,lung squamous cell carcinoma,"[""lung squamous cell carcinoma"", ""肺鳞状细胞癌""]"
Q07,Q07:F01,1 µg/mL doxycycline,"[""1 µg/mL doxycycline"", ""1 μg/mL doxycycline"", ""1 microgram per mL doxycycline""]"
Q07,Q07:F02,37°C,"[""37°C"", ""37 °C""]"
Q07,Q07:F03,5% CO2,"[""5% CO2"", ""5% CO₂""]"
Q07,Q07:F04,6 days,"[""6 days"", ""6 天""]"
Q08,Q08:F01,PureLink RNA Mini kit,"[""PureLink RNA Mini kit""]"
Q08,Q08:F02,TruSeq Stranded mRNA Library Prep Kit,"[""TruSeq Stranded mRNA Library Prep Kit""]"
Q09,Q09:F01,Illumina HiSeq 2500,"[""Illumina HiSeq 2500"", ""HiSeq 2500""]"
Q09,Q09:F02,Bioanalyzer RNA Pico chips,"[""Bioanalyzer RNA Pico chips"", ""RNA Pico chips""]"
Q10,Q10:F01,polyA RNA,"[""polyA RNA"", ""Poly(A)+ RNA"", ""poly(A) RNA""]"
Q10,Q10:F02,RNA-Seq,"[""RNA-Seq"", ""RNA seq""]"
Q11,Q11:F01,TopHat2,"[""TopHat2"", ""TopHat 2""]"
Q11,Q11:F02,GRCh37/hg19,"[""GRCh37/hg19"", ""GRCh37"", ""hg19""]"
Q11,Q11:F03,HTSeq v0.6.1,"[""HTSeq v0.6.1"", ""HTSeq 0.6.1""]"
Q12,Q12:F01,bcl2fastq,"[""bcl2fastq""]"
Q12,Q12:F02,FASTQC,"[""FASTQC"", ""FastQC""]"
Q12,Q12:F03,TopHat2,"[""TopHat2"", ""TopHat 2""]"
Q12,Q12:F04,SAMtools,"[""SAMtools""]"
Q12,Q12:F05,Picard,"[""Picard""]"
Q12,Q12:F06,RSeQC,"[""RSeQC""]"
Q12,Q12:F07,HTSeq,"[""HTSeq""]"
Q13,Q13:F01,RIN > 9,"[""RIN > 9"", ""RIN>9"", ""RIN 大于 9""]"
Q14,Q14:F01,53924761,"[""53924761"", ""53,924,761""]"
Q14,Q14:F02,52016366,"[""52016366"", ""52,016,366""]"
Q15,Q15:F01,53416511,"[""53416511"", ""53,416,511""]"
Q15,Q15:F02,51926832,"[""51926832"", ""51,926,832""]"
Q16,Q16:F01,17926,"[""17926"", ""17,926""]"
Q16,Q16:F02,17953,"[""17953"", ""17,953""]"
Q16,Q16:F03,18137,"[""18137"", ""18,137""]"
Q16,Q16:F04,18092,"[""18092"", ""18,092""]"
Q17,Q17:F01,25369,"[""25369"", ""25,369""]"
Q18,Q18:F01,SRX3777456,"[""SRX3777456""]"
Q18,Q18:F02,SRX3777457,"[""SRX3777457""]"
Q18,Q18:F03,SRX3777458,"[""SRX3777458""]"
Q18,Q18:F04,SRX3777459,"[""SRX3777459""]"
Q19,Q19:F01,基因级 HTSeq 计数矩阵,"[""基因级 HTSeq 计数矩阵"", ""基因级（gene-level）的 HTSeq 计数矩阵"", ""基因级 (gene-level) 的 HTSeq 计数矩阵"", ""gene-level HTSeq count matrix""]"
Q19,Q19:F02,不是原始 FASTQ,"[""不是原始 FASTQ"", ""非原始 FASTQ"", ""not raw FASTQ""]"
Q19,Q19:F03,不进行差异表达显著性推断,"[""不进行差异表达显著性推断"", ""不据此进行差异表达显著性推断"", ""不能据此进行差异表达显著性推断"", ""不能进行差异表达显著性推断"", ""no differential expression significance inference""]"
Q20,Q20:F01,GSM3035187,"[""GSM3035187""]"
Q20,Q20:F02,18137,"[""18137"", ""18,137""]"
