mode,question_id,rank,evidence_id,evidence_type,source,matched_fact_ids,text
bm25,Q01,1,chunk:GSE111619_family.soft:0:80d433564abe,document_chunk,GSE111619_family.soft,[],^DATABASE = GeoMiame !Database_name = Gene Expression Omnibus (GEO) !Database_institute = NCBI NLM NIH !Database_web_link = http://www.ncbi.nlm.nih.gov/geo !Database_email = geo@ncbi.nlm.nih.gov ^SERIES = GSE111619 !Series_title = Poly(A)+ RNA-seq from H226 cells expressing doxycycline-inducible Control (non-targeting) and p63-targeting shRNAs !Series_geo_accession = GSE111619 !Series_status = Public on Aug 27 2018 !Series_submission_date = Mar 09 2018 !Series_last_update_date = Mar 27 2019 !Ser
bm25,Q01,2,chunk:GSE111619_series_matrix.txt:3:a3a0d21a74c2,document_chunk,GSE111619_series_matrix.txt,[],"ntact_state	""CO"" !Series_contact_zip/postal_code	""80045"" !Series_contact_country	""USA"" !Series_supplementary_file	""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111619/suppl/GSE111619_RNAseq_H226_shp63_analysis_HTSeq_counts.txt.gz"" !Series_platform_id	""GPL16791"" !Series_platform_taxid	""9606"" !Series_sample_taxid	""9606"" !Series_relation	""SubSeries of: GSE111635"" !Series_relation	""BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA437576"" !Series_relation	""SRA: https://www.ncbi.nlm.nih."
bm25,Q01,3,chunk:GSE111619_family.soft:3:d5c4e36fc6d1,document_chunk,GSE111619_family.soft,[],"thew,D,Galbraith !Series_contact_department = Department of Pharmacology; Linda Crnic Institute for Down Syndrome !Series_contact_institute = University of Colorado Anschutz Medical Campus !Series_contact_address = 12800 E. 19th Ave. !Series_contact_city = Aurora !Series_contact_state = CO !Series_contact_zip/postal_code = 80045 !Series_contact_country = USA !Series_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111619/suppl/GSE111619_RNAseq_H226_shp63_analysis_HTSeq_cou"
bm25,Q01,4,chunk:GSE111619_series_matrix.txt:0:bc80d80b6fb6,document_chunk,GSE111619_series_matrix.txt,[],"!Series_title	""Poly(A)+ RNA-seq from H226 cells expressing doxycycline-inducible Control (non-targeting) and p63-targeting shRNAs"" !Series_geo_accession	""GSE111619"" !Series_status	""Public on Aug 27 2018"" !Series_submission_date	""Mar 09 2018"" !Series_last_update_date	""Mar 27 2019"" !Series_pubmed_id	""30232004"" !Series_summary	""To determine the impact of ΔNp63α knockdown on steady-state mRNA levels, we performed poly(A)-enriched RNA-seq analysis of lung squamous cell carcinoma line H226 (inducible "
bm25,Q01,5,chunk:GSE111619_family.soft:12:70d15f8f2b25,document_chunk,GSE111619_family.soft,"[""Q01:F02""]",80045 !Sample_contact_country = USA !Sample_instrument_model = Illumina HiSeq 2500 !Sample_library_selection = cDNA !Sample_library_source = transcriptomic !Sample_library_strategy = RNA-Seq !Sample_relation = BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08667775 !Sample_relation = SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3777456 !Sample_supplementary_file_1 = NONE !Sample_series_id = GSE111619 !Sample_series_id = GSE111635 !Sample_data_row_count = 0 ^SAMPLE = GSM3035186 !Sample_ti
bm25,Q01,6,chunk:GSE111619_family.soft:27:0811d4a4f618,document_chunk,GSE111619_family.soft,"[""Q01:F04""]",_contact_address = 12800 E. 19th Ave. !Sample_contact_city = Aurora !Sample_contact_state = CO !Sample_contact_zip/postal_code = 80045 !Sample_contact_country = USA !Sample_instrument_model = Illumina HiSeq 2500 !Sample_library_selection = cDNA !Sample_library_source = transcriptomic !Sample_library_strategy = RNA-Seq !Sample_relation = BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08667770 !Sample_relation = SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3777458 !Sample_supplementary_fil
bm25,Q01,7,chunk:GSE111619_family.soft:20:9af496ac6e9a,document_chunk,GSE111619_family.soft,"[""Q01:F03""]","oSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08667774 !Sample_relation = SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3777457 !Sample_supplementary_file_1 = NONE !Sample_series_id = GSE111619 !Sample_series_id = GSE111635 !Sample_data_row_count = 0 ^SAMPLE = GSM3035187 !Sample_title = H226 shp63, 6 days doxycycline, replicate 1 !Sample_geo_accession = GSM3035187 !Sample_status = Public on Aug 27 2018 !Sample_submission_date = Mar 09 2018 !Sample_last_update_date = Aug 27 2018 !Sample_typ"
bm25,Q01,8,chunk:GSE111619_family.soft:5:5769fda80faf,document_chunk,GSE111619_family.soft,"[""Q01:F01""]","d = 9606 !Platform_contact_name = ,,GEO !Platform_contact_country = USA !Platform_data_row_count = 0 ^SAMPLE = GSM3035185 !Sample_title = H226 shControl, 6 days doxycycline, replicate 1 !Sample_geo_accession = GSM3035185 !Sample_status = Public on Aug 27 2018 !Sample_submission_date = Mar 09 2018 !Sample_last_update_date = Aug 27 2018 !Sample_type = SRA !Sample_channel_count = 1 !Sample_source_name_ch1 = H226 shControl_6 days doxycycline !Sample_organism_ch1 = Homo sapiens !Sample_taxid_ch1 = 96"
bm25,Q01,9,chunk:GSE111619_family.soft:4:00eb8f492584,document_chunk,GSE111619_family.soft,[],sample_taxid = 9606 !Series_relation = SubSeries of: GSE111635 !Series_relation = BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA437576 !Series_relation = SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP134235 ^PLATFORM = GPL16791 !Platform_title = Illumina HiSeq 2500 (Homo sapiens) !Platform_geo_accession = GPL16791 !Platform_status = Public on Mar 14 2013 !Platform_submission_date = Mar 14 2013 !Platform_last_update_date = Mar 27 2019 !Platform_technology = high-throughput sequencing !
bm25,Q01,10,chunk:GSE111619_family.soft:35:a3b6b9cab079,document_chunk,GSE111619_family.soft,[],cDNA !Sample_library_source = transcriptomic !Sample_library_strategy = RNA-Seq !Sample_relation = BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08667769 !Sample_relation = SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3777459 !Sample_supplementary_file_1 = NONE !Sample_series_id = GSE111619 !Sample_series_id = GSE111635 !Sample_data_row_count = 0
bm25,Q01,11,chunk:GSE111619_series_matrix.txt:4:d2206f015b53,document_chunk,GSE111619_series_matrix.txt,"[""Q01:F01"", ""Q01:F02"", ""Q01:F03"", ""Q01:F04""]","!Sample_title	""H226 shControl, 6 days doxycycline, replicate 1""	""H226 shControl, 6 days doxycycline, replicate 2""	""H226 shp63, 6 days doxycycline, replicate 1""	""H226 shp63, 6 days doxycycline, replicate 2"" !Sample_geo_accession	""GSM3035185""	""GSM3035186""	""GSM3035187""	""GSM3035188"" !Sample_status	""Public on Aug 27 2018""	""Public on Aug 27 2018""	""Public on Aug 27 2018""	""Public on Aug 27 2018"" !Sample_submission_date	""Mar 09 2018""	""Mar 09 2018""	""Mar 09 2018""	""Mar 09 2018"" !Sample_last_update_date	""Aug"
bm25,Q01,12,chunk:gse111619_samples.csv:0:a333971634bd,document_chunk,gse111619_samples.csv,"[""Q01:F01"", ""Q01:F02""]","geo_accession,count_column,title,condition,replicate,cell_line,cell_type,shrna_construct,treatment,culture_condition,molecule,instrument,library_strategy,biosample,sra,total_gene_count,detected_gene_rows,zero_gene_rows GSM3035185,NonTargeting_rep1,""H226 shControl, 6 days doxycycline, replicate 1"",control,1,H226,lung squamous cell carcinoma,Control,1 µg/mL doxycycline,""37°C, 5% CO2, 6 days"",polyA RNA,Illumina HiSeq 2500,RNA-Seq,https://www.ncbi.nlm.nih.gov/biosample/SAMN08667775,SRX3777456,539247"
bm25,Q01,13,chunk:GSE111619_family.soft:28:42d7ef4e1753,document_chunk,GSE111619_family.soft,"[""Q01:F04""]","ata_row_count = 0 ^SAMPLE = GSM3035188 !Sample_title = H226 shp63, 6 days doxycycline, replicate 2 !Sample_geo_accession = GSM3035188 !Sample_status = Public on Aug 27 2018 !Sample_submission_date = Mar 09 2018 !Sample_last_update_date = Aug 27 2018 !Sample_type = SRA !Sample_channel_count = 1 !Sample_source_name_ch1 = H226 shp63_6 days doxycycline !Sample_organism_ch1 = Homo sapiens !Sample_taxid_ch1 = 9606 !Sample_characteristics_ch1 = cell line: H226 !Sample_characteristics_ch1 = cell type: l"
bm25,Q01,14,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,document_chunk,GSE111619_HTSeq_counts.txt,[],GeneID	NonTargeting_rep1	NonTargeting_rep2	p63KD_rep1	p63KD_rep2 A1BG	59	54	88	72 A1BG-AS1	268	231	224	221 A1CF	1	1	0	0 A2M	109	117	533	517 A2M-AS1	38	42	41	38 A2ML1	68	50	27	33 A2MP1	0	2	1	1 A3GALT2	2	2	0	2 A4GALT	2103	1852	2729	2672 A4GNT	0	0	0	1 AA06	0	0	0	0 AAAS	2784	2610	2142	1866 AACS	3501	3247	2899	2787 AACSP1	76	48	16	18 AADAC	7	0	6	1 AADACL2	0	0	0	0 AADACL2-AS1	0	0	0	0 AADACL3	0	0	0	0 AADACL4	0	0	0	2 AADACP1	4	8	3	4 AADAT	743	743	510	464 AAED1	404	433	305	262 AAGAB	5156	4853	5194	5143 A
bm25,Q01,15,chunk:GSE111619_HTSeq_counts.txt:100:23364a304d84,document_chunk,GSE111619_HTSeq_counts.txt,[],CASP1	3090	2770	1755	1722 CASP10	1747	1580	1591	1569 CASP12	0	0	0	0 CASP14	203	221	64	65 CASP2	3240	3158	3975	3439 CASP3	2912	2862	2252	2255 CASP4	4910	4635	5734	5854 CASP5	0	0	1	5 CASP6	1875	1724	1492	1443 CASP7	3372	3334	5225	5183 CASP8	3141	2978	2328	2222 CASP8AP2	2725	2692	2049	1845 CASP9	1523	1353	2051	2067 CASQ1	0	0	0	0 CASQ2	6	1	9	11 CASR	0	0	1	0 CASS4	1	0	0	3 CAST	21851	21190	27933	27488 CASZ1	815	819	995	952 CAT	12168	11191	9905	9706 CATIP	11	6	3	4 CATIP-AS1	7	8	14	15 CATSPER1	163	161	3
