mode,question_id,fact_id,evidence_rank,fact_rank,evidence_id,evidence_type,source
bm25,Q01,Q01:F02,5,5,chunk:GSE111619_family.soft:12:70d15f8f2b25,document_chunk,GSE111619_family.soft
bm25,Q01,Q01:F04,6,6,chunk:GSE111619_family.soft:27:0811d4a4f618,document_chunk,GSE111619_family.soft
bm25,Q01,Q01:F03,7,7,chunk:GSE111619_family.soft:20:9af496ac6e9a,document_chunk,GSE111619_family.soft
bm25,Q01,Q01:F01,8,8,chunk:GSE111619_family.soft:5:5769fda80faf,document_chunk,GSE111619_family.soft
vector,Q01,Q01:F02,3,3,chunk:GSE111619_family.soft:12:70d15f8f2b25,document_chunk,GSE111619_family.soft
vector,Q01,Q01:F03,8,8,chunk:GSE111619_family.soft:20:9af496ac6e9a,document_chunk,GSE111619_family.soft
vector,Q01,Q01:F04,13,13,chunk:GSE111619_family.soft:27:0811d4a4f618,document_chunk,GSE111619_family.soft
vector,Q01,Q01:F01,19,19,chunk:GSE111619_series_matrix.txt:27:426a10e70046,document_chunk,GSE111619_series_matrix.txt
hybrid_rag,Q01,Q01:F02,2,2,chunk:GSE111619_family.soft:12:70d15f8f2b25,document_chunk,GSE111619_family.soft
hybrid_rag,Q01,Q01:F03,4,4,chunk:GSE111619_family.soft:20:9af496ac6e9a,document_chunk,GSE111619_family.soft
hybrid_rag,Q01,Q01:F04,6,6,chunk:GSE111619_family.soft:27:0811d4a4f618,document_chunk,GSE111619_family.soft
hybrid_rag,Q01,Q01:F01,13,13,chunk:GSE111619_family.soft:5:5769fda80faf,document_chunk,GSE111619_family.soft
graph_enhanced_rag,Q01,Q01:F04,2,2,graph:406cf8c7e523f5aa,graph_relation,GSE111619 GSM3035188 RNA-seq record -> GSM3035188
graph_enhanced_rag,Q01,Q01:F02,3,3,chunk:GSE111619_family.soft:12:70d15f8f2b25,document_chunk,GSE111619_family.soft
graph_enhanced_rag,Q01,Q01:F03,4,4,graph:a847410fb3009181,graph_relation,GSE111619 GSM3035187 RNA-seq record -> GSM3035187
graph_enhanced_rag,Q01,Q01:F01,8,8,graph:5f7ea604febb27d1,graph_relation,GSE111619 GSM3035185 RNA-seq record -> GSM3035185
bm25,Q02,Q02:F01,1,1,chunk:gse111619_samples.csv:1:30b170a15a22,document_chunk,gse111619_samples.csv
bm25,Q02,Q02:F02,1,2,chunk:gse111619_samples.csv:1:30b170a15a22,document_chunk,gse111619_samples.csv
vector,Q02,Q02:F01,3,3,chunk:GSE111619_series_matrix.txt:27:426a10e70046,document_chunk,GSE111619_series_matrix.txt
vector,Q02,Q02:F02,3,4,chunk:GSE111619_series_matrix.txt:27:426a10e70046,document_chunk,GSE111619_series_matrix.txt
hybrid_rag,Q02,Q02:F01,2,2,chunk:gse111619_samples.csv:1:30b170a15a22,document_chunk,gse111619_samples.csv
hybrid_rag,Q02,Q02:F02,2,3,chunk:gse111619_samples.csv:1:30b170a15a22,document_chunk,gse111619_samples.csv
graph_enhanced_rag,Q02,Q02:F02,2,2,graph:a7dbb9eadcc7afc7,graph_relation,GSE111619 GSM3035188 RNA-seq record -> p63
graph_enhanced_rag,Q02,Q02:F01,3,3,chunk:gse111619_samples.csv:1:30b170a15a22,document_chunk,gse111619_samples.csv
bm25,Q03,Q03:F01,5,5,chunk:gse111619_samples.csv:0:a333971634bd,document_chunk,gse111619_samples.csv
bm25,Q03,Q03:F02,5,6,chunk:gse111619_samples.csv:0:a333971634bd,document_chunk,gse111619_samples.csv
vector,Q03,Q03:F01,3,3,chunk:GSE111619_series_matrix.txt:27:426a10e70046,document_chunk,GSE111619_series_matrix.txt
vector,Q03,Q03:F02,3,4,chunk:GSE111619_series_matrix.txt:27:426a10e70046,document_chunk,GSE111619_series_matrix.txt
hybrid_rag,Q03,Q03:F01,7,7,chunk:GSE111619_series_matrix.txt:27:426a10e70046,document_chunk,GSE111619_series_matrix.txt
hybrid_rag,Q03,Q03:F02,7,8,chunk:GSE111619_series_matrix.txt:27:426a10e70046,document_chunk,GSE111619_series_matrix.txt
graph_enhanced_rag,Q03,Q03:F02,2,2,graph:b43578ce1b7a1a32,graph_relation,GSE111619 GSM3035186 RNA-seq record -> Control
graph_enhanced_rag,Q03,Q03:F01,4,4,graph:fea2400baa268b47,graph_relation,GSE111619 GSM3035185 RNA-seq record -> Control
bm25,Q04,Q04:F01,13,13,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,document_chunk,GSE111619_HTSeq_counts.txt
bm25,Q04,Q04:F02,13,14,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,document_chunk,GSE111619_HTSeq_counts.txt
bm25,Q04,Q04:F03,13,15,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,document_chunk,GSE111619_HTSeq_counts.txt
bm25,Q04,Q04:F04,13,16,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,document_chunk,GSE111619_HTSeq_counts.txt
hybrid_rag,Q04,Q04:F01,26,26,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,document_chunk,GSE111619_HTSeq_counts.txt
hybrid_rag,Q04,Q04:F02,26,27,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,document_chunk,GSE111619_HTSeq_counts.txt
