geo_accession,title,tissue,genotype,treatment,replicate,matrix_column,molecule,instrument,library_strategy,data_processing
GSM8844827,"WT, temperature, 22℃，rep1",seedling,WT,22℃,1,WT_CO_1,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844828,"WT, temperature, 22℃，rep2",seedling,WT,22℃,2,WT_CO_2,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844829,"WT, temperature, 22℃，rep3",seedling,WT,22℃,3,WT_CO_3,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844830,"WT, temperature, 37℃，rep1",seedling,WT,37℃ 3d,1,WT_RH_1,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844831,"WT, temperature, 37℃，rep2",seedling,WT,37℃ 3d,2,WT_RH_2,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844832,"WT, temperature, 37℃，rep3",seedling,WT,37℃ 3d,3,WT_RH_3,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844833,"PR, temperature, 22℃，rep1",seedling,PRMT5 T-insert,22℃,1,PR_CO_1,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844834,"PR, temperature, 22℃，rep2",seedling,PRMT5 T-insert,22℃,2,PR_CO_2,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844835,"PR, temperature, 22℃，rep3",seedling,PRMT5 T-insert,22℃,3,PR_CO_3,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844836,"PR, temperature, 37℃，rep1",seedling,PRMT5 T-insert,37℃ 3d,1,PR_RH_1,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844837,"PR, temperature, 37℃，rep2",seedling,PRMT5 T-insert,37℃ 3d,2,PR_RH_2,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844838,"PR, temperature, 37℃，rep3",seedling,PRMT5 T-insert,37℃ 3d,3,PR_RH_3,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844839,"WT, temperature 24 hours of recovery after treatment at 37°C，rep1",seedling,WT,24 hours of recovery after 3 days of treatment at 37°C,1,WT_R24_1,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844840,"WT, temperature 24 hours of recovery after treatment at 37°C，rep2",seedling,WT,24 hours of recovery after 3 days of treatment at 37°C,2,WT_R24_2,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844841,"WT, temperature 24 hours of recovery after treatment at 37°C，rep3",seedling,WT,24 hours of recovery after 3 days of treatment at 37°C,3,WT_R24_3,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844842,"PR, temperature 24 hours of recovery after treatment at 37°C，rep1",seedling,PRMT5 T-insert,24 hours of recovery after 3 days of treatment at 37°C,1,PR_R24_1,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844843,"PR, temperature 24 hours of recovery after treatment at 37°C，rep2",seedling,PRMT5 T-insert,24 hours of recovery after 3 days of treatment at 37°C,2,PR_R24_2,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
GSM8844844,"PR, temperature 24 hours of recovery after treatment at 37°C，rep3",seedling,PRMT5 T-insert,24 hours of recovery after 3 days of treatment at 37°C,3,PR_R24_3,total RNA,Illumina NovaSeq 6000,RNA-Seq,RSEM；Assembly: TAIR10.1；Supplementary files format and content: gene.tpm.matrix.annot.txt files are files in excel format that quantify the expression levels of genes
